,board_state,player_piece_amount,piece_difference,furthest_piece,furthest_piece_difference
0,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 0. 1.]
  [0. 0. 1.]
  [0. 0. 1.]
  [0. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,0,1,0
1,"[[[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 0. 0.]
  [1. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[1. 0. 0.]
  [0. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]

 [[1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]]",8,0,1,1
2,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 0. 1.]]

 [[0. 0. 1.]
  [1. 0. 1.]
  [0. 0. 1.]
  [0. 1. 1.]]

 [[1. 0. 1.]
  [0. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,0,2,0
3,"[[[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 1. 0.]
  [0. 1. 0.]
  [1. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 1. 0.]]

 [[1. 0. 0.]
  [0. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]

 [[1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]]",7,-1,2,1
4,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 1. 1.]
  [0. 0. 1.]
  [1. 0. 1.]
  [0. 0. 1.]]

 [[0. 0. 1.]
  [0. 1. 1.]
  [0. 0. 1.]
  [0. 1. 1.]]

 [[1. 0. 1.]
  [0. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,1,3,1
5,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 0. 1.]
  [0. 0. 1.]
  [0. 0. 1.]
  [0. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,0,1,0
6,"[[[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 0. 0.]
  [1. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]]

 [[1. 0. 0.]
  [0. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]

 [[1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]]",8,0,1,1
7,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 0. 1.]]

 [[0. 0. 1.]
  [1. 0. 1.]
  [0. 0. 1.]
  [0. 1. 1.]]

 [[1. 0. 1.]
  [0. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,0,2,0
8,"[[[0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]
  [0. 1. 0.]]

 [[0. 1. 0.]
  [0. 1. 0.]
  [1. 0. 0.]
  [0. 0. 0.]]

 [[0. 0. 0.]
  [0. 0. 0.]
  [0. 0. 0.]
  [0. 1. 0.]]

 [[1. 0. 0.]
  [0. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]

 [[1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]
  [1. 0. 0.]]]",7,-1,2,1
9,"[[[0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]
  [0. 1. 1.]]

 [[0. 0. 1.]
  [0. 1. 1.]
  [1. 0. 1.]
  [0. 0. 1.]]

 [[0. 1. 1.]
  [0. 0. 1.]
  [0. 0. 1.]
  [0. 1. 1.]]

 [[1. 0. 1.]
  [0. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]

 [[1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]
  [1. 0. 1.]]]",8,1,3,1
